field_name	field_location	data_type	units	field_description	allowable_enumeration
out.emissions.electricity.refrigeration.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.refrigeration.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using egrid 2021 state emissions intensity	""
out.emissions.electricity.refrigeration.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.refrigeration.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2025	""
out.emissions.electricity.refrigeration.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 25 years starting in 2025	""
out.emissions.electricity.refrigeration.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 30 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 15 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 30 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_high_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_high_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2025	""
out.emissions.electricity.refrigeration.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_low_re_cost levelized over 25 years starting in 2025	""
out.emissions.electricity.refrigeration.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_low_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2023	""
out.emissions.electricity.refrigeration.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2025	""
out.emissions.electricity.refrigeration.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_mid_case levelized over 25 years starting in 2025	""
out.emissions.electricity.refrigeration.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the refrigeration end use, using Cambium 2022 lrmer_mid_case levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 aer_95_decarb_by_2035 non-levelized values from 2023	""
out.emissions.electricity.water_systems.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 aer_95_decarb_by_2050 non-levelized values from 2023	""
out.emissions.electricity.water_systems.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 aer_high_re_cost non-levelized values from 2023	""
out.emissions.electricity.water_systems.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 aer_low_re_cost non-levelized values from 2023	""
out.emissions.electricity.water_systems.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 aer_mid_case non-levelized values from 2023	""
out.emissions.electricity.water_systems.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using egrid 2018 state emissions intensity	""
out.emissions.electricity.water_systems.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using egrid 2018 subregion emissions intensity	""
out.emissions.electricity.water_systems.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using egrid 2019 state emissions intensity	""
out.emissions.electricity.water_systems.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using egrid 2019 subregion emissions intensity	""
out.emissions.electricity.water_systems.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using egrid 2020 state emissions intensity	""
out.emissions.electricity.water_systems.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using egrid 2020 subregion emissions intensity	""
out.emissions.electricity.water_systems.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using egrid 2021 state emissions intensity	""
out.emissions.electricity.water_systems.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using egrid 2021 subregion emissions intensity	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 15 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 25 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_95_decarb_by_2035 levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_95_decarb_by_2050 levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_high_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_high_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_low_re_cost levelized over 15 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_low_re_cost levelized over 25 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_low_re_cost levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_mid_case levelized over 15 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_mid_case levelized over 25 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems end use, using Cambium 2022 lrmer_mid_case levelized over 30 years starting in 2023	""
out.emissions.fuel_oil	metadata	float	co2e_kg	annual greenhouse gas emissions from on site fuel oil use	""
out.emissions.fuel_oil.enduse_group.hvac	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating_fuel_oil_ghg_emissions	""
out.emissions.fuel_oil.heating	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac_fuel_oil_ghg_emissions	""
out.emissions.fuel_oil.water_systems	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems_fuel_oil_ghg_emissions	""
out.emissions.natural_gas	metadata	float	co2e_kg	annual greenhouse gas emissions from on site natural gas use	""
out.emissions.natural_gas.enduse_group.hvac	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating_natural_gas_ghg_emissions	""
out.emissions.natural_gas.heating	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac_natural_gas_ghg_emissions	""
out.emissions.natural_gas.water_systems	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems_natural_gas_ghg_emissions	""
out.emissions.propane	metadata	float	co2e_kg	annual greenhouse gas emissions from on site propane use	""
out.emissions.propane.enduse_group.hvac	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the heating_propane_ghg_emissions	""
out.emissions.propane.heating	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the hvac_propane_ghg_emissions	""
out.emissions.propane.water_systems	metadata	float	co2e_kg	annual greenhouse gas emissions from electricity for the water_systems_propane_ghg_emissions	""
out.utility_bills.electricity_bill_intensity	metadata	float	usd_per_ft2	Total electric bill per floor area	""
out.utility_bills.electricity_bill_max	metadata	float	usd	Maximum electric bill maximum across all applicable rates	""
out.utility_bills.electricity_bill_mean	metadata	float	usd	Mean electric bill across all applicable rates	""
out.utility_bills.electricity_bill_median	metadata	float	usd	Median electric bill across all applicable rates	""
out.utility_bills.electricity_bill_min	metadata	float	usd	Minimum electric bill across all applicable rates	""
out.utility_bills.electricity_bill_number_of_rates	metadata	float	usd	Number of applicable electric rates	""
out.utility_bills.electricity_energy_rate	metadata	float	usd_per_kwh	Total electric bill per kWh of electricity consumption	""
out.utility_bills.electricity_utility_eia_id	metadata	integer		The EIA ID of the electric utility for this building	""
out.utility_bills.fuel_oil_bill	metadata	float	usd	Fuel oil bill	""
out.utility_bills.fuel_oil_bill_intensity	metadata	float	usd_per_ft2	Total fuel oil bill per floor area	""
out.utility_bills.fuel_oil_rate_name	metadata	string		Name of the fuel oil rate used	""
out.utility_bills.natural_gas_bill	metadata	float	usd	Natural gas bill	""
out.utility_bills.natural_gas_bill_intensity	metadata	float	usd_per_ft2	Total natural gas bill per floor area	""
out.utility_bills.natural_gas_energy_rate	metadata	float	usd_per_kwh	Total natural gas bill per kWh of natural consumption. Note atypical consumption units for natural gas.	""
out.utility_bills.natural_gas_rate_name	metadata	string		Name of the natural gas rate used	EIA 2022 Average Commercial Natural Gas Price for OR|EIA 2022 Average Commercial Natural Gas Price for NM|EIA 2022 Average Commercial Natural Gas Price for ND|EIA 2022 Average Commercial Natural Gas Price for VA|EIA 2022 Average Commercial Natural Gas Price for WI|EIA 2022 Average Commercial Natural Gas Price for SC|EIA 2022 Average Commercial Natural Gas Price for TX|EIA 2022 Average Commercial Natural Gas Price for CO|EIA 2022 Average Commercial Natural Gas Price for AZ|EIA 2022 Average Commercial Natural Gas Price for IN|...too many to list
out.utility_bills.propane_bill	metadata	float	usd	Propane bill from one applicable rate	""
out.utility_bills.propane_bill_intensity	metadata	float	usd_per_ft2	Total propane bill per floor area	""
out.utility_bills.propane_rate_name	metadata	string		Name of the propane rate used	EIA 2022 Average Residential Propane Price for MI|EIA 2022 Average Residential Propane Price for AZ|EIA 2022 Average Residential Propane Price for MO|EIA 2022 Average Residential Propane Price for OR|EIA 2022 Average Residential Propane Price for AL|EIA 2022 Average Residential Propane Price for ME|EIA 2022 Average Residential Propane Price for ND|EIA 2022 Average Residential Propane Price for CA|EIA 2022 Average Residential Propane Price for NH|EIA 2022 Average Residential Propane Price for SD|...too many to list
out.params.air_system_fan_power_minimum_flow_fraction	metadata	float		Fan power design minimum airflow fraction for air systems	""
out.params.air_system_fan_static_pressure	metadata	float	inwc	Fan static pressure for air systems in pascals	""
out.params.air_system_fan_total_efficiency	metadata	float		Total air system fan efficiency	""
out.params.area_fraction_with_dcv	metadata	float		Fraction of floor area served by HVAC with DCV	""
out.params.area_fraction_with_economizer	metadata	float		Fraction of floor area served by HVAC with economizer	""
out.params.area_fraction_with_heat_recovery	metadata	float		Fraction of floor area served by HVAC with heat recovery	""
out.params.area_fraction_with_motorized_oa_damper	metadata	float		Fraction of floor area served by HVAC with motorized outdoor air damper	""
out.params.area_fraction_with_mz_vav_optimization	metadata	float		Fraction of floor area served by HVAC with multizone vav optimization	""
out.params.area_fraction_with_supply_air_temperature_reset	metadata	float		Fraction of floor area served by HVAC with supply air temperature reset	""
out.params.area_fraction_with_unoccupied_shutdown	metadata	float		Fraction of floor area served by HVAC with unoccupied shutdown	""
out.params.average_cooling_setpoint_max	metadata	float	c	Average maximum cooling thermostat setpoint	""
out.params.average_cooling_setpoint_min	metadata	float	c	Average minimum cooling thermostat setpoint	""
out.params.average_heating_setpoint_max	metadata	float	c	Average maximum heating thermostat setpoint	""
out.params.average_heating_setpoint_min	metadata	float	c	Average minimum heating thermostat setpoint	""
out.params.average_outdoor_air_fraction	metadata	float		Average outdoor air ventialtion fraction	""
out.params.average_roof_absorptance	metadata	float		Average roof absorptance	""
out.params.average_roof_u_value	metadata	float	btu_per_ft2_f_hr	Average roof u-value	""
out.params.average_wall_u_value	metadata	float	btu_per_ft2_f_hr	Average exterior wall u-value	""
out.params.average_window_shgc	metadata	float		Solar heat gain coefficient of windows	""
out.params.average_window_u_value	metadata	float	btu_per_ft2_f_hr	Conductivity of windows	""
out.params.average_window_vlt	metadata	float		Average glazing visible transmittance	""
out.params.boiler_average_efficiency	metadata	float		load weighted average thermal efficiency	""
out.params.boiler_cap_weight_efficiency	metadata	float		capacity weighted nominal thermal efficiency	""
out.params.boiler_capacity	metadata	float	kbtu_per_hr	Sum of boiler capacity	""
out.params.boiler_electric	metadata	float	j	total boiler electric use	""
out.params.boiler_gas	metadata	float	j	total boiler gas use	""
out.params.boiler_load	metadata	float	j	total boiler heating load served	""
out.params.boiler_load_weight_efficiency	metadata	float		load weighted nominal thermal efficiency	""
out.params.boiler_other_fuel	metadata	float	j	total boiler other fuel use	""
out.params.booster_water_heater_electric	metadata	float	j	electric energy use by booster water heaters	""
out.params.booster_water_heater_gas	metadata	float	j	gas energy use by booster water heaters	""
out.params.broiler_fuel_type	metadata	string		Fuel type of broilers	Electric|Gas
out.params.building_fraction_cooled	metadata	float		Fraction of building that is served by a cooling system	""
out.params.building_fraction_heated	metadata	float		Fraction of building that is served by a heating system	""
out.params.cdd50f	metadata	float		cooling degree days with a 50F base	""
out.params.cdd65f	metadata	float		cooling degree days with a 65F base	""
out.params.chiller_average_cop	metadata	float	cop	annual average COP, weighted by load	""
out.params.chiller_capacity	metadata	float	tons	Sum of chiller capacity	""
out.params.cooling_equipment_capacity	metadata	float	tons	Sum of cooling equipment capacity	""
out.params.daylight_control_fraction	metadata	float		Fraction of building lighting by floor area that is controlled by daylight sensors	""
out.params.design_chiller_cop	metadata	float	cop	Design cop of chiller	""
out.params.design_outdoor_air_flow_rate	metadata	float	m3_per_m2_s	Design outdoor air ventilation flow rate for air systems	""
out.params.dining_type	metadata	string		Type of dining facility	None|Hotel B|Burger A|Chicken A|Pubs/Taverns|Burger B|Diner|Chinese B|Chinese A|Grills|Pancake|Hospitals Large|Hotel A|Fish B|Pizza B|Dept. Stores|Chicken B|Muffin|Potato|Hot Dog|Cookie|Restaurant B|Hospitals Small|High School|Cafe|Pizza A|Restaurant C|Fish A|Donut|Restaurant A|Truck Stop|Roast Beef
out.params.dx_cooling_average_cop	metadata	float	cop	DX cooling COP during operation averaged across all cooling coils	""
out.params.dx_cooling_capacity_tons	metadata	float	tons	Sum of dx cooling capacity	""
out.params.dx_cooling_design_cop	metadata	float	cop	DX cooling COP at rated conditions averaged across all cooling coils	""
out.params.dx_cooling_design_eer_135_to_240_kbtuh	metadata	float	eer	Design eer of dx cooling coils for 135-240 kbtuh equipment	""
out.params.dx_cooling_design_eer_240_to_760_kbtuh	metadata	float	eer	Design eer of dx cooling coils for 240-760 kbtuh equipment	""
out.params.dx_cooling_design_eer_65_to_135_kbtuh	metadata	float	eer	Design eer of dx cooling coils for 65-135 kbtuh equipment	""
out.params.dx_cooling_design_eer_760_plus_kbtuh	metadata	float	eer	Design eer of dx cooling coils for 760 plus kbtuh equipment	""
out.params.dx_cooling_design_ieer_135_to_240_kbtuh	metadata	float	ieer	Design ieer of dx cooling coils for 135-240 kbtuh equipment	""
out.params.dx_cooling_design_ieer_240_to_760_kbtuh	metadata	float	ieer	Design ieer of dx cooling coils for 240-760 kbtuh equipment	""
out.params.dx_cooling_design_ieer_65_to_135_kbtuh	metadata	float	ieer	Design ieer of dx cooling coils for 65-135 kbtuh equipment	""
out.params.dx_cooling_design_ieer_760_plus_kbtuh	metadata	float	ieer	Design ieer of dx cooling coils for 760 plus kbtuh equipment	""
out.params.dx_cooling_design_seer_0_to_30_kbtuh	metadata	float	seer	Design seer of dx cooling coils for 0-30 kbtuh equipment	""
out.params.dx_cooling_design_seer_30_to_65_kbtuh	metadata	float	seer	Design seer of dx cooling coils for 30-65 kbtuh equipment	""
out.params.dx_cooling_electric	metadata	float	j	total dx cooling equipment electric use	""
out.params.dx_cooling_load	metadata	float	j	total dx cooling equipment cooling load served	""
out.params.dx_heating_average_cop	metadata	float	cop	Average dx heating cop	""
out.params.dx_heating_average_minimum_operating_temperature	metadata	float	c	Average minimum operating temperature of DX heating coils	""
out.params.dx_heating_average_total_cop	metadata	float	cop	annual average COP of DX heating equipment including supplemental heating and defrost energy, weighted by total dx heating and supplemental heating load	""
out.params.dx_heating_capacity_at_0f	metadata	float	kbtu_per_hr	Sum of dx heating capacity at 0F	""
out.params.dx_heating_capacity_at_17f	metadata	float	kbtu_per_hr	Sum of dx heating capacity at 17F	""
out.params.dx_heating_capacity_at_5f	metadata	float	kbtu_per_hr	Sum of dx heating capacity at 5F	""
out.params.dx_heating_capacity_at_rated	metadata	float	kbtu_per_hr	Sum of dx heating capacity	""
out.params.dx_heating_defrost_energy	metadata	float	kbtu	Sum of defrost energy use of a dx heating coil	""
out.params.dx_heating_design_cop	metadata	float	cop	Design cop of dx heating coils	""
out.params.dx_heating_design_cop_0f	metadata	float	cop	Design cop of dx heating coils at 0F	""
out.params.dx_heating_design_cop_135_to_240_kbtuh	metadata	float	cop	Design cop of dx heating coils for 135-240 kbtuh equipment	""
out.params.dx_heating_design_cop_17f	metadata	float	cop	Design cop of dx heating coils at 17F	""
out.params.dx_heating_design_cop_240_plus_kbtuh	metadata	float	cop	Design cop of dx heating coils for 240 plus kbtuh equipment	""
out.params.dx_heating_design_cop_5f	metadata	float	cop	Design cop of dx heating coils at 5F	""
out.params.dx_heating_design_cop_65_to_135_kbtuh	metadata	float	cop	Design cop of dx heating coils for 65-135 kbtuh equipment	""
out.params.dx_heating_design_hspf_0_to_30_kbtuh	metadata	float	hspf	Design hspf of dx heating coils for 0-30 kbtuh equipment	""
out.params.dx_heating_design_hspf_30_to_65_kbtuh	metadata	float	hspf	Design hspf of dx heating coils for 30-65 kbtuh equipment	""
out.params.dx_heating_fraction_electric_defrost	metadata	float		defrost electric energy divided by the sum of supplemental coil electric energy, defrost electric energy, and dx coil electric energy	""
out.params.dx_heating_fraction_electric_supplemental	metadata	float		supplemental coil electric energy divided by the sum of supplemental coil electric energy, defrost electric energy, and dx coil electric energy	""
out.params.dx_heating_fraction_supplemental	metadata	float		Fraction of dx heating system load met by associated supplemental coil	""
out.params.dx_heating_hours_below_minus_20f	metadata	float	hr	Number of hours with an outdoor air temperature below -20F	""
out.params.dx_heating_ratio_defrost	metadata	float		Ratio of defrost energy use to total heating load of dx heating system	""
out.params.dx_heating_supplemental_capacity	metadata	float	kbtu_per_hr	Sum of dx heating supplemental capacity	""
out.params.dx_heating_supplemental_capacity_electric	metadata	float	kbtu_per_hr	Sum of dx heating supplemental capacity electric	""
out.params.dx_heating_supplemental_capacity_gas	metadata	float	kbtu_per_hr	Sum of dx heating supplemental capacity gas	""
out.params.dx_heating_total_dx_electric	metadata	float	j	total dx heating equipment electric use, excluding supplemental heating	""
out.params.dx_heating_total_dx_load	metadata	float	j	total dx heating equipment heating load served, excluding supplemental heating	""
out.params.dx_heating_total_load	metadata	float	j	total dx heating equipment heating load served, including supplemental heating	""
out.params.dx_heating_total_supplemental_electric	metadata	float	j	total dx heating equipment supplemental electric use	""
out.params.dx_heating_total_supplemental_gas	metadata	float	j	total dx heating equipment supplemental gas use	""
out.params.dx_heating_total_supplemental_load	metadata	float	j	total dx heating equipment supplemental load served	""
out.params.dx_heating_total_supplemental_load_electric	metadata	float	j	total dx heating equipment supplemental load served by electric	""
out.params.dx_heating_total_supplemental_load_gas	metadata	float	j	total dx heating equipment supplemental load served by gas	""
out.params.economizer_control_type	metadata	string		most prevalent economizer control type by total annual airflow	FixedDryBulb|DifferentialDryBulb|NoEconomizer|DifferentialEnthalpy
out.params.economizer_high_limit_enthalpy	metadata	float	j_per_kg	average economizer high limited enthalpy, weighted by total annual airflow	""
out.params.economizer_high_limit_temperature	metadata	float	c	average economizer high limit temperature, weighted by total annual airflow	""
out.params.elevator_energy_consumption	metadata	float	kwh	Annual energy consumption of elevators	""
out.params.ext_roof_area	metadata	float	m2	Area of surfaces with surface type 'RoofCeiling' and 'Outdoors' boundary condition	""
out.params.ext_wall_area	metadata	float	m2	Area of surfaces with surface type 'Wall' and 'Outdoors' boundary condition	""
out.params.ext_window_area	metadata	float	m2	Sum window area	""
out.params.exterior_lighting_power	metadata	float	w	Peak exterior lighting electricty usage	""
out.params.fluid_hx_demand_inlet_temp	metadata	float	c	fluid heat exchanger load weighted annual average demand inlet temperature	""
out.params.fluid_hx_demand_outlet_temp	metadata	float	c	fluid heat exchanger load weighted annual average demand outlet temperature	""
out.params.fluid_hx_supply_inlet_temp	metadata	float	c	fluid heat exchanger load weighted annual average supply inlet temperature	""
out.params.fluid_hx_supply_outlet_temp	metadata	float	c	fluid heat exchanger load weighted annual average supply outlet temperature	""
out.params.fluid_hx_transfer_energy	metadata	float	j	fluid heat exchanger total energy transferred	""
out.params.fryer_fuel_type	metadata	string		Fuel type of fryers	Electric|Gas
out.params.furnace_capacity	metadata	float	kbtu_per_hr	Sum of furnace capacity	""
out.params.gas_coil_average_efficiency	metadata	float		capacity weighted nominal thermal efficiency	""
out.params.ghx_borehole_depth	metadata	float	ft	average length of vertical ground heat exchangers, weighted by count	""
out.params.ghx_flow_rate	metadata	float	ft3_per_min	average design flow rate of vertical ground heat exchangers, weighted by count	""
out.params.ghx_num_boreholes	metadata	float		number of vertical ground heat exchangers	""
out.params.griddle_fuel_type	metadata	string		Fuel type of griddles	Electric|Gas
out.params.hdd50f	metadata	float		heating degree days with a 50F base	""
out.params.hdd65f	metadata	float		heating degree days with a 65F base	""
out.params.heat_pump_cooling_average_cop	metadata	float	cop	load weighted average heat pump cop for cooling	""
out.params.heat_pump_cooling_cap_weight_cop	metadata	float	cop	capacity weighted heat pump reference cop for cooling	""
out.params.heat_pump_cooling_capacity	metadata	float	kbtu_per_hr	capacity of all heat pumps for cooling	""
out.params.heat_pump_cooling_load_weight_cop	metadata	float	cop	load weighted heat pump reference cop for cooling	""
out.params.heat_pump_cooling_source_inlet_temp	metadata	float	c	heat pump cooling load weighted annual average source inlet temperature	""
out.params.heat_pump_cooling_total_electric	metadata	float	j	total heat pump electric use for cooling	""
out.params.heat_pump_cooling_total_load	metadata	float	j	total heat pump cooling load served	""
out.params.heat_pump_heating_average_cop	metadata	float	cop	load weighted average heat pump cop for heating	""
out.params.heat_pump_heating_cap_weight_cop	metadata	float	cop	capacity weighted heat pump reference cop for heating	""
out.params.heat_pump_heating_capacity	metadata	float	kbtu_per_hr	capacity of all heat pumps for heating	""
out.params.heat_pump_heating_load_weight_cop	metadata	float	cop	load weighted heat pump reference cop for heating	""
out.params.heat_pump_heating_source_inlet_temp	metadata	float	c	heat pump heating load weighted annual average source inlet temperature	""
out.params.heat_pump_heating_total_electric	metadata	float	j	total heat pump electric use for heating	""
out.params.heat_pump_heating_total_load	metadata	float	j	total heat pump heating load served	""
out.params.heating_equipment	metadata	float	kbtu_per_hr	Sum of heating equipment capacity	""
out.params.hot_water_loop_boiler_fraction	metadata	float		heating load provided by boilers divided by total hot water loop heating load	""
out.params.hot_water_loop_heat_pump_fraction	metadata	float		heating load provided by heat pumps divided by total  hot water loop heating load	""
out.params.hot_water_loop_load	metadata	float	j	heating load provided by boilers and heat pumps	""
out.params.hot_water_volume	metadata	float	m3	Annual hot water usage by volume	""
out.params.hours_above_65f	metadata	float	hr	Number of hours with an outdoor air temperature above 65F	""
out.params.hours_below_0f	metadata	float	hr	Number of hours with an outdoor air temperature below 0F	""
out.params.hours_below_17f	metadata	float	hr	Number of hours with an outdoor air temperature below 17F	""
out.params.hours_below_50f	metadata	float	hr	Number of hours with an outdoor air temperature below 50F	""
out.params.hours_below_5f	metadata	float	hr	Number of hours with an outdoor air temperature below 5F	""
out.params.hours_cooling_setpoint_not_met	metadata	float	hr	Annual number of hours the building was not meeting the cooling thermostat setpoint tolerance for all of its zones	""
out.params.hours_heating_setpoint_not_met	metadata	float	hr	Annual number of hours the building was not meeting the heating thermostat setpoint tolerance for all of its zones	""
out.params.hp_water_heater_0_to_40_gal_capacity	metadata	float	w	individual equipment in this range	""
out.params.hp_water_heater_0_to_40_gal_cop	metadata	float	cop	individual equipment in this range	""
